# Id,E(Ry),Eat(Ry)
560,-285.0328236,-9.17530959999999
562,-207.04193471,-8.17607470999999
563,-147.27898386,-5.97066086000001
564,-174.47016294,-8.96634494
568,-186.28570293,-10.46785793
569,-255.84726693,-11.85135193
572,-263.37309464,-8.53630363999997
581,-214.19304838,-7.94248038000001
584,-263.1758916,-10.3950396
586,-186.14600039,-7.70836239000002
587,-303.86519724,-9.87269024
588,-150.17991603,-6.74911102999999
589,-186.17684139,-9.39767139
594,-154.30469777,-5.61166677
595,-306.25260917,-10.7021431700001
596,-351.28998055,-13.29067955
597,-147.79629883,-6.20108983
598,-177.38098961,-4.76567261
599,-268.37520891,-7.46423891000001
600,-402.71243894,-11.30005594
601,-227.07669168,-9.74157668000001
602,-131.51468517,-5.34371117000001
603,-405.05372511,-11.80574611
604,-321.00189949,-10.13755249
607,-352.25645043,-10.05646243
608,-285.00569419,-9.14818019000001
609,-392.83283966,-12.26044166
610,-318.60901154,-9.58026053999998
611,-224.99019574,-8.09044774
612,-143.74754243,-4.90098743000001
614,-157.72992857,-7.17265456999999
615,-357.15926424,-10.19347024
617,-165.08885177,-5.74664077
618,-407.46088262,-12.37730762
619,-239.45586453,-8.04493953000002
626,-287.4229319,-9.72982189999999
627,-285.0199559,-9.16244190000003
630,-296.97572442,-9.84285842000003
632,-248.79395819,-9.34350619
634,-323.58166627,-9.78710927000003
635,-323.59429516,-9.79973816
637,-317.72732735,-12.89926335
638,-369.95906444,-14.69993244
639,-348.56650395,-13.80302795
640,-329.99238286,-12.48873786
641,-323.59420014,-9.79964314
647,-340.50573055,-10.67001555
648,-241.63325084,-7.90903883999999
649,-162.48676459,-6.38037859000002
650,-122.00952627,-5.05885626999999
654,-210.91075494,-7.90526094000001
655,-200.07876152,-7.72244752
659,-357.97513958,-13.99135958
660,-184.1036709,-8.9406449
668,-261.36320992,-6.96178591999998
669,-275.69311208,-8.18074007999996
670,-143.6603753,-4.8138203
671,-275.16197199,-11.10576799
673,-145.79083482,-6.50891281999998
674,-52.33695063,-3.78380263
675,-159.64649715,-9.83463314999997
677,-205.95538633,-7.71569833000001
679,-87.3630261,-3.61224009999999
681,-195.89308046,-9.67415445999998
682,-272.55394192,-10.55278592
683,-412.69508882,-9.56755882000004
690,-191.04406907,-8.71578707
691,-217.66544529,-9.33118229000002
694,-152.52139544,-7.03554244
696,-342.91234873,-9.05750273000001
697,-309.24843919,-8.56483019000001
698,-308.14865842,-18.65829242
700,-85.93071963,-4.20633463
701,-198.59638757,-9.14163657
702,-64.58668791,-3.35795890999999
712,-47.8408753,-1.5586903
713,-69.29185716,-2.51401616000001
716,-287.3509562,-9.65784619999999
717,-405.06179757,-11.81381857
719,-405.08011341,-11.83213441
722,-318.60459802,-9.57584702000003
723,-186.89400126,-5.43645326000001
724,-295.02734033,-7.45467933000003
725,-188.59411094,-9.97934494
729,-261.35238041,-6.95095641000003
734,-409.65748514,-16.10262614
736,-285.00447411,-9.14696011000001
737,-522.77635955,-13.9735115500001
738,-212.76453031,-8.54036331
739,-275.13600001,-10.11847101
740,-392.83712491,-12.26472691
742,-191.3336034,-7.60509239999999
743,-203.64845408,-7.24436208
750,-117.20069697,-4.14067097
751,-143.64302335,-4.79646835
752,-177.3084017,-5.2906097
753,-146.05272402,-5.37057301999999
754,-263.76687323,-7.52985323000001
756,-95.75552877,-3.19115877
757,-129.42193114,-3.68632414
760,-126.99468695,-3.09467595
763,-171.85736564,-6.53067564
764,-200.10472425,-8.07844725000001
765,-403.54163707,-15.11126807
767,-115.15541588,-2.53075688000001
768,-33.20467259,-1.43366459
773,-210.01127702,-9.02293502000001
774,-130.85419188,-7.48367588000001
775,-176.33923664,-8.52213164
776,-178.7436954,-9.0909944
777,-176.36111307,-8.54400806999999
778,-168.62073404,-6.81675504
779,-179.40818643,-6.95502743
780,-239.3800722,-9.14992419999999
781,-56.01363415,-1.72056915
782,-255.95929682,-9.12413681999999
784,-69.37442469,-1.19635468999999
785,-145.90230304,-6.40092903999999
786,-374.06443928,-11.05748728
787,-57.21870013,-1.71621113
790,-178.70696077,-7.17633977
791,-174.46576149,-8.96194349000001
793,-222.23177594,-8.56785293999999
794,-219.82554951,-7.99722251
795,-80.87263239,-4.21966839000001
796,-208.23485935,-6.28165534999999
798,-123.94468817,-7.73942817000001
799,-385.3357923,-14.7291083
800,-183.75654206,-9.99374505999998
802,-217.42300067,-10.48896667
803,-262.90550868,-11.52488568
809,-332.67728874,-11.71836674
811,-201.20595896,-6.63746295999999
824,-160.15598027,-7.76311027
825,-191.30615813,-7.57764713
827,-241.84294396,-8.59642296000001
829,-177.00686209,-6.38929909000001
830,-262.74133884,-8.52147084000003
832,-328.33152732,-8.98785832000004
833,-248.45056005,-10.61978905
834,-297.74557104,-11.60621404
835,-280.16303628,-7.97671427999995
836,-275.04590772,-11.20915572
837,-270.20138596,-10.03582596
838,-243.77351654,-11.27240554
839,-258.56624272,-8.49525771999998
840,-253.79011788,-9.26824488
841,-253.76472314,-9.24285014
842,-343.32686303,-12.74091703
843,-342.68018887,-10.22557187
844,-191.3244267,-7.59591570000001
845,-296.45338719,-11.24581719
846,-274.74807311,-12.31155011
847,-216.50390009,-8.41773609000001
848,-220.25705603,-8.90642002999999
849,-172.06706643,-8.39884443000003
850,-357.16562004,-10.19982604
852,-224.98723777,-8.08748977000002
854,-239.44957955,-8.03865455000002
855,-110.0794522,-4.4041342
857,-174.45064691,-8.94682890999999
865,-274.96524594,-11.34794594
866,-195.80880653,-9.80933253000001
867,-174.9891761,-4.8069801
868,-141.32049489,-4.30953588999998
873,-220.10814729,-9.93828829
874,-201.21380345,-6.64530744999999
875,-256.47209582,-6.83647782
876,-182.92787052,-8.01294351999999
878,-39.48551814,-2.01691714
880,-107.66851058,-3.82878858000001
887,-50.26064112,-2.14286012
891,-294.65794244,-9.36067243999997
892,-287.37758139,-9.68447139
893,-191.69857834,-5.97231334
895,-312.96535704,-16.96455404
896,-281.69606704,-14.93353304
897,-322.76649993,-12.86701493
899,-335.01455703,-12.43949103
900,-452.71888205,-14.58894705
901,-402.53823785,-12.52608385
902,-227.06014441,-9.72502940999999
903,-267.41299733,-13.76141133
904,-159.95528987,-8.74319686999999
905,-251.2079906,-9.92194259999999
907,-241.37689947,-10.93083647
908,-150.46222481,-5.63119081000002
909,-258.25931693,-9.58856093
910,-320.28467709,-13.40156509
911,-228.4904492,-9.12893320000001
912,-145.15411903,-8.67265503000002
913,-176.57667541,-10.41803841
914,-267.37894341,-13.72735741
917,-185.45912095,-9.82194095
921,-166.89356956,-8.51622055999999
922,-227.06076707,-9.72565207
931,-128.82700074,-8.73109673999998
936,-152.67112703,-7.18527403000002
938,-164.90728815,-6.74585414999999
942,-176.26174008,-11.50333208
944,-121.91906524,-1.90969824
945,-54.7425457,-1.0756527
947,-40.36331001,-1.20759401
948,-73.73427544,-1.40732244
949,-128.66975688,-8.79330487999999
950,-162.10302169,-9.05533269
951,-229.46838356,-10.07822056
952,-205.85316567,-7.61347767000001
953,-297.12269887,-9.11467087
955,-311.16415274,-12.10111574
962,-35.98189703,-0.975064029999999
964,-174.90465168,-4.72245568
967,-239.24758659,-7.35897058999998
970,-220.47326427,-5.84447926999999
971,-160.65698501,-3.58573701
972,-313.95874207,-8.60118307000005
974,-148.44659799,-4.05093098999998
976,-167.52312108,-6.12586208000002
978,-179.26247741,-7.99009541000001
979,-251.26957756,-9.76407755999998
980,-198.32445301,-6.99178201000001
983,-389.07729899,-7.40585898999996
988,-315.82110536,-13.30632836
989,-184.28577929,-7.94197628999999
993,-239.4582318,-8.0473068
994,-207.846653,-10.352375
995,-178.94688871,-11.91398071
996,-112.31059851,-5.98046151000001
997,-217.6723482,-9.33808519999999
998,-138.5234757,-7.80703869999999
999,-172.19010637,-8.30243236999999
1000,-162.27508085,-9.22739185
1001,-128.6977529,-8.82130090000001
1002,-224.49597092,-10.17722892
1004,-153.68405291,-3.12235090999999
1005,-259.00653728,-6.44070927999996
1007,-330.67992878,-9.50066378000002
1015,-203.64388844,-6.36463444
1016,-297.09535117,-9.08732316999999
1017,-237.01410391,-8.61955190999998
1018,-164.90073963,-6.73930562999999
1020,-395.33459692,-14.89068592
1021,-310.75859449,-13.31523849
1023,-271.36657441,-5.25000340999998
1028,-332.69233626,-11.73341426
1029,-229.38566052,-10.21494952
1030,-112.49017863,-4.97926463
1031,-78.90238663,-4.56270963
1032,-110.17490059,-4.49958258999999
1034,-227.85815616,-6.62796915999999
1043,-156.9421363,-7.30740029999998
1044,-145.07170792,-6.71232391999999
1045,-102.33808045,-7.06738045
1046,-159.7071947,-6.83663369999999
1047,-171.92087491,-6.37473291000001
1048,-80.8422181,-4.1892541
1049,-85.74263063,-5.19902262999999
1050,-227.04528439,-9.49071739000001
1051,-344.75426951,-11.64483351
1052,-217.22650132,-10.51191932
1053,-334.93712115,-12.66767015
1054,-229.44976904,-10.05960604
1055,-347.16042748,-12.21539548
1056,-95.10946692,-5.34555492
1057,-179.50592998,-6.83331898
1059,-188.89583888,-7.00292388000003
1060,-141.34104585,-4.33008684999999
1064,-299.37055399,-10.40209199
1066,-244.03995205,-8.26069205000002
1068,-53.80434322,-3.22479422
1073,-474.86366118,-12.34299818
1074,-357.16562033,-10.19982633
1080,-247.76007432,-8.33826931999999
1081,-237.21032227,-7.63499327
1086,-179.83526166,-2.10619965999999
1088,-131.49286905,-5.32189504999999
1094,-263.34778104,-9.38615203999998
1095,-381.04688144,-11.53038344
1100,-125.94108424,-2.06972024
1101,-287.33763707,-9.64452707000004
1110,-189.33364026,-6.04049626
1112,-155.66766483,-5.54575783000001
1114,-347.06125039,-12.99138039
1118,-159.5481888,-2.5055878
1119,-89.93948898,-1.07495797999999
1122,-174.90437779,-4.72218179000001
1123,-175.93674455,-5.34782854999997
1127,-80.05248316,-5.08663415999999
1128,-113.60624841,-5.46916241000001
1133,-118.63439595,-3.54796895
1134,-344.32183781,-13.70724481
1135,-174.41953526,-7.03779725999999
1136,-158.83977024,-7.65632424
1140,-93.03551259,-6.76566459
1141,-162.5119956,-8.06407760000002
1145,-100.09967182,-5.26433881999999
1146,-66.64393835,-4.97984235
1148,-253.07932721,-12.53868921
1150,-173.92939541,-11.00658341
1153,-241.44867719,-10.78316219
1174,-160.08927924,-5.81848923999999
1175,-246.01238105,-8.13928604999998
1176,-90.6971821,-3.4236851
1177,-363.55647072,-12.88158872
1178,-186.25873835,-7.60164834999998
1182,-160.14107211,-7.74820211000002
1183,-205.69383456,-8.63492356
1188,-212.39613238,-7.69427438000002
1189,-415.8407956,-14.7348456
1194,-169.64666912,-7.81404312000001
1195,-340.49897131,-10.66325631
1196,-155.32245339,-6.60077539
1198,-316.37172566,-9.17857065999999
1206,-157.30950746,-11.21115946
1207,-228.88732875,-15.13686875
1208,-243.40608165,-15.36389665
1209,-296.46486017,-9.07375517000003
1212,-300.36795455,-13.28689255
1213,-202.98185622,-14.31483922
1214,-236.84919479,-8.67409479000003
1216,-277.82508275,-9.87734374999997
1217,-227.13059713,-9.57603013000002
1221,-270.06128384,-10.11517584
1222,-287.00456145,-11.89245745
1226,-251.21482149,-9.92877349
1227,-207.5384058,-11.4443568
1232,-164.67433153,-6.73234952999999
1233,-241.39847242,-7.67426042
1235,-283.89836238,-18.35892938
1237,-243.73503197,-11.23392097
1242,-298.44980091,-16.52127091
1245,-287.22138576,-10.70905276
1250,-250.41844739,-14.99155439
1253,-274.2776233,-16.3000263
1254,-176.73471424,-12.45399724
1255,-346.24673465,-18.03601965
1256,-203.13630833,-11.19114233
1271,-236.84191578,-8.66681578000001
1280,-367.07225256,-13.33807756
1285,-403.85273492,-21.79799892
1288,-357.86489008,-19.99850408
1292,-205.75894586,-8.70003486000002
1295,-245.54886356,-16.85185956
1297,-306.30809137,-11.13569837
1303,-220.07691188,-9.90705288000001
1310,-251.22362879,-9.93758079
1313,-241.52458843,-9.67829642999999
1318,-193.00076436,-11.19844036
1320,-344.58115049,-13.52765349
1322,-73.61930015,-4.57049615
1326,-255.26089005,-11.22618805
1335,-193.63323942,-8.06913241999999
1340,-203.10627052,-9.28318452000002
1342,-226.36055881,-14.66514681
1343,-327.5210886,-11.8530396
1344,-128.54777435,-8.89077435
1346,-224.12932986,-13.08873686
1366,-186.39851476,-9.61934476000002
1367,-159.27219502,-7.80186301999998
1368,-265.55249328,-11.15549728
1370,-293.86665146,-14.42853646
1374,-241.54175361,-9.69546161
1382,-306.01880124,-15.08588224
1383,-223.82299112,-9.94315312000001
1384,-265.1827721,-11.9665531
1387,-291.66547385,-10.40673285
1388,-181.13159137,-12.48253937
1390,-95.17692864,-5.41301664
1391,-417.87722789,-16.33591089
1433,-197.62958311,-12.37551911
1456,-240.94102144,-9.79781543999999
1465,-296.42265526,-12.09024726
1468,-300.37379602,-13.29273402
1472,-241.5251317,-9.6788397
1474,-169.13165083,-9.88003083000001
1491,-225.09207031,-7.97287030999999
1492,-448.13750722,-16.72821222
1493,-284.29857461,-7.96336961000003
1494,-253.75122912,-9.22935612000001
1527,-289.21165824,-12.48341024
1531,-148.1539807,-7.03646270000002
1532,-162.12632528,-7.42016828000001
1533,-121.46135336,-7.31114136000001
1534,-134.70654934,-7.47403634000001
1535,-355.97375014,-11.60836014
1536,-325.88549352,-15.88579452
1538,-362.03322637,-15.84591737
1539,-188.3826308,-12.1294188
1551,-198.03993371,-13.26356071
1553,-440.36527941,-15.7860874100001
1554,-395.2136126,-12.8056186
1562,-253.49187199,-10.37022799
1567,-87.37918195,-3.62839595
1570,-142.02330252,-5.78640052
1574,-221.84999909,-12.64500209
1576,-188.49527218,-11.06128318
1606,-230.85894738,-9.59440137999999
1610,-332.27891192,-12.93967092
1614,-222.0832409,-11.4780149
1616,-252.87233525,-10.67322925
1625,-238.15497869,-11.16419269
1626,-202.50278235,-15.45544635
1629,-296.86603552,-10.03878452
1630,-162.53890184,-7.49345883999999
1639,-109.27788387,-4.74455587
1645,-167.01709482,-8.42029382000001
1646,-190.25612772,-6.55626372
1647,-83.21881919,-4.73025919
1650,-294.14665358,-13.52776158
1652,-344.22052449,-13.60593149
1653,-263.38095718,-9.41932818000001
1656,-238.14163834,-11.15085234
1662,-251.54486205,-8.85858505000002
1663,-169.26458932,-8.83219231999999
1669,-210.15944387,-10.82956987
1670,-289.31648674,-12.36878674
1671,-283.94399416,-18.40456116
1672,-114.54149022,-6.59520922
1673,-180.76800848,-8.80202047999998
1675,-358.61616982,-14.89062882
1676,-255.34074172,-11.30603972
1678,-196.17425096,-5.49639895999999
1679,-198.01351872,-8.08107672
1681,-138.10788166,-8.79167366000001
1682,-227.84526648,-6.61507947999999
1693,-193.55646078,-11.05105078
1695,-188.50417138,-8.01148538000001
1699,-415.91900118,-16.69097118
1706,-204.69612617,-12.05735417
1708,-377.60472321,-18.27781921
1720,-260.33238379,-12.18758579
1721,-428.12059528,-16.21698428
1725,-154.73696258,-8.81574258000001
1726,-198.66532865,-8.33541564999999
1727,-107.12635937,-6.08709537
1733,-181.05271418,-10.52574218
1737,-318.68583645,-9.65708545000001
1738,-253.65244374,-10.31134774
1741,-313.91662305,-8.55906405000002
1742,-200.51521618,-8.74717818000002
1745,-128.76271233,-5.82756333
1748,-210.17193935,-10.84206535
1750,-234.04098374,-8.88225674
1756,-240.68461299,-9.54140699000001
1774,-138.33301777,-7.83603277
1775,-300.82829144,-15.18624544
1776,-307.79466238,-11.92866338
1792,-302.32278746,-13.47356346
1801,-185.65265261,-9.79602061
1803,-351.36351486,-13.36421386
1805,-358.35641444,-12.97240544
1809,-240.86037655,-12.99531955
1814,-358.63899732,-14.91345632
1826,-251.01601546,-10.91074446
1827,-449.40818364,-20.06761364
1828,-397.1565419,-13.3104229
1832,-250.40336991,-14.97647691
1833,-221.80488219,-12.59988519
1835,-332.05238322,-14.11337122
1837,-216.84768342,-14.59202742
1838,-422.90583807,-19.35179707
1841,-276.54150365,-9.49757364999999
1853,-219.64613624,-12.05728324
1855,-298.84427535,-12.67627135
1861,-187.98932958,-10.29710158
1864,-315.28581832,-15.35204732
1865,-250.95111447,-11.06529547
1868,-233.72821468,-13.24786568
1871,-234.07126871,-8.91254171
1883,-271.21626693,-10.64398693
1892,-303.20317524,-12.88628824
1893,-216.97318905,-8.38068705000001
1894,-271.57961997,-10.72045397
1923,-169.4484673,-8.79661830000001
1935,-212.14005142,-13.55558742
1936,-428.15304671,-16.24943571
1942,-243.02363389,-11.66451289
1947,-476.27500163,-16.99459163
1962,-195.44065474,-10.62195774
1969,-237.78863721,-13.59830921
1979,-212.58159922,-11.41612922
1980,-400.00393607,-12.70254007
1983,-193.55070242,-9.16737241999999
1986,-281.84718823,-8.36973522999995
1990,-117.0705961,-4.01057010000001
1995,-234.33628488,-11.27492988
1999,-315.3410385,-15.4072675
2000,-267.73587122,-12.68405622
2002,-312.97435055,-14.87617555
2003,-300.74534735,-15.32275335
2004,-329.95249552,-15.50754752
2015,-219.61776554,-12.02891254
2022,-310.14067474,-12.43907974
2039,-129.79666387,-6.45479487
2041,-252.61141164,-10.19285364
2046,-286.21623717,-10.62644217
2052,-233.81188215,-10.05338415
2054,-282.12254615,-10.68163415
2061,-267.41004667,-10.48031167
2065,-269.9017487,-11.1364177
2068,-162.09027264,-12.32073264
2071,-298.94644943,-12.55899343
2072,-190.87948317,-9.73197816999999
2079,-269.99896728,-13.33100828
2080,-303.4016293,-14.7432103
2083,-301.00015973,-16.05525673
2086,-230.44089067,-10.64400767
2088,-349.83229523,-10.77627623
2094,-178.57421479,-7.04359379000002
2095,-301.05899055,-13.05539055
2101,-248.52509451,-10.25541951
2102,-248.52554287,-10.25586787
2105,-279.64918771,-10.48277571
2107,-221.84421721,-12.63922021
2108,-301.65399509,-10.84993709
2109,-224.98615152,-8.08640352
2110,-255.7553877,-11.9789247
2111,-197.25659313,-9.23071812999999
2112,-270.05412002,-13.16670902
2113,-195.82097227,-9.82149827000001
2115,-280.10403744,-11.28202744
2119,-293.59675978,-17.43679378
2120,-332.40136365,-14.02344765
2123,-249.8552062,-14.3895262
2130,-159.75526201,-11.82131801
2145,-281.74417547,-14.98164147
2146,-99.68457673,-4.59100473000001
2147,-195.51373762,-13.75373762
2148,-260.47859921,-11.15302421
2149,-179.40221385,-6.94905485000001
2151,-240.75011755,-12.88506055
2153,-241.0018108,-10.0780568
2155,-103.6842512,-4.5092302
